fecha,milisegundos,Nombre_episodio,razon_comienzo,razon_fin,aleatorio,saltado,idnt_episodio,idnt_comienzo,idnt_fin
2022-07-13 15:10:19+00:00,2827520,CUENTA TU VERDAD | La Pija y la Quinqui 1x24,clickrow,unexpected-exit-while-paused,False,False,42,4,5
2022-08-05 04:30:02+00:00,2474573,Musica para dormir rápido,clickrow,trackdone,False,False,5,4,1
2022-08-06 07:48:36+00:00,0,Chuva Suave para Dormir ,trackdone,unexpected-exit-while-paused,False,False,6,2,5
2022-08-06 21:52:56+00:00,1802005,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,endplay,False,False,21,4,2
2022-08-07 22:08:25+00:00,1927101,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,endplay,False,False,21,4,2
2022-08-11 23:43:39+00:00,906602,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,logout,False,False,21,4,7
2022-08-12 08:21:47+00:00,2707011,Chuva Suave para Dormir ,clickrow,logout,False,False,6,4,7
2022-08-12 08:22:15+00:00,22684,Chuva Suave para Dormir ,appload,endplay,False,False,6,1,2
2022-08-13 21:47:36+00:00,2474573,Musica para dormir rápido,clickrow,trackdone,False,False,5,4,1
2022-08-14 19:57:56+00:00,103,Chuva Suave para Dormir ,trackdone,unexpected-exit-while-paused,False,False,6,2,5
2022-08-14 23:48:19+00:00,1805945,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,trackdone,False,False,21,4,1
2022-08-26 00:37:32+00:00,1802005,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,trackdone,False,False,21,4,1
2022-08-31 23:37:13+00:00,2835456,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,trackdone,False,False,21,4,1
2022-09-02 00:34:09+00:00,2474573,Musica para dormir rápido,clickrow,trackdone,False,False,5,4,1
2022-09-02 11:04:43+00:00,0,Chuva Suave para Dormir ,trackdone,logout,False,False,6,2,7
2022-09-03 17:09:28+00:00,488447,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,logout,False,False,21,4,7
2022-09-03 17:09:58+00:00,25121,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",appload,endplay,False,False,21,1,2
2022-10-09 06:08:25+00:00,4747786,"Deep Focus Music: Ambient Alpha Waves For Study, and Focus",playbtn,logout,True,False,29,8,7
2022-10-16 20:21:59+00:00,3226411,Musica para dormir rápido,clickrow,trackdone,False,False,5,4,1
2022-10-17 05:35:48+00:00,21742,Chuva Suave para Dormir ,appload,endplay,False,True,6,1,2
2022-10-18 20:59:37+00:00,2474573,Musica para dormir rápido,clickrow,trackdone,False,False,5,4,1
2022-10-18 21:09:45+00:00,533,Chuva Suave para Dormir ,trackdone,logout,False,False,6,2,7
2022-10-19 06:05:18+00:00,736,Chuva Suave para Dormir ,appload,endplay,False,True,6,1,2
2022-10-19 13:05:38+00:00,3610293,"Deep Focus Music: Ambient Alpha Waves For Study, and Focus",appload,endplay,True,True,29,1,2
2022-10-21 07:41:04+00:00,4699006,"Deep Focus Music: Ambient Alpha Waves For Study, and Focus",trackdone,logout,True,False,29,2,7
2022-10-21 10:12:45+00:00,1357,SOMOS CHICAS PUENTE | La Pija y la Quinqui 1x01,trackdone,unexpected-exit-while-paused,False,False,12,2,5
2022-10-21 16:07:11+00:00,1000,SOMOS CHICAS PUENTE | La Pija y la Quinqui 1x01,appload,endplay,False,True,12,1,2
2022-10-25 11:00:56+00:00,3526077,"Deep Focus Music: Ambient Alpha Waves For Study, and Focus",appload,endplay,True,True,29,1,2
2022-11-02 05:30:45+00:00,2707306,Sueño Profundo y Reparación Con Antiestrés,clickrow,logout,False,False,43,4,7
2022-11-02 07:19:03+00:00,6116,Sueño Profundo y Reparación Con Antiestrés,appload,endplay,False,True,43,1,2
2022-11-02 22:02:38+00:00,170047,Musica para dormir rápido,clickrow,logout,False,False,5,4,7
2022-11-02 23:27:13+00:00,2706138,Sueño Profundo y Reparación Con Antiestrés,clickrow,logout,False,False,43,4,7
2022-11-03 06:42:52+00:00,8972,Sueño Profundo y Reparación Con Antiestrés,appload,endplay,False,True,43,1,2
2022-11-09 10:45:11+00:00,9652,SOMOS CHICAS PUENTE | La Pija y la Quinqui 1x01,trackdone,endplay,False,True,12,2,2
2022-11-14 23:00:19+00:00,2478897,Musica para dormir rápido,clickrow,trackdone,False,False,5,4,1
2022-11-14 23:10:21+00:00,556,Chuva Suave para Dormir ,trackdone,logout,False,False,6,2,7
2022-11-15 06:41:26+00:00,8464,Chuva Suave para Dormir ,appload,endplay,False,True,6,1,2
2022-11-15 11:51:29+00:00,3110661,"Activa tu Cerebro con Ondas GAMMA Binaurales para estudiar, concentrarte y mejorar tu memoria 3 HorasASMR",playbtn,logout,False,False,44,8,7
2022-11-20 23:21:07+00:00,2474573,Musica para dormir rápido,clickrow,trackdone,False,False,5,4,1
2022-11-20 23:32:33+00:00,533,Chuva Suave para Dormir ,trackdone,logout,False,False,6,2,7
2022-11-21 22:45:50+00:00,2474573,Musica para dormir rápido,clickrow,trackdone,False,False,5,4,1
2022-11-22 00:07:03+00:00,4871639,Chuva Suave para Dormir ,trackdone,trackdone,False,False,6,2,1
2022-11-22 06:24:47+00:00,13248,Musica para dormir rápido,appload,endplay,False,True,5,1,2
2022-11-29 07:51:35+00:00,788038,"Activa tu Cerebro con Ondas GAMMA Binaurales para estudiar, concentrarte y mejorar tu memoria 3 HorasASMR",playbtn,logout,False,False,44,8,7
2022-12-09 04:47:26+00:00,2461573,Musica para dormir rápido,clickrow,trackdone,False,False,5,4,1
2022-12-11 23:14:05+00:00,2474573,Musica para dormir rápido,clickrow,trackdone,False,False,5,4,1
2022-12-12 06:32:54+00:00,8474,Chuva Suave para Dormir ,playbtn,endplay,True,True,6,8,2
2022-12-13 23:14:48+00:00,210000,Musica para dormir rápido,clickrow,unexpected-exit,False,False,5,4,6
2022-12-14 00:09:02+00:00,2944920,Musica para dormir rápido,appload,trackdone,False,False,5,1,1
2022-12-16 11:22:01+00:00,2880141,Power Focus - 14Hz Beta Waves that Improve Concentration and Focus,clickrow,endplay,False,True,45,4,2
2022-12-20 04:10:54+00:00,2474573,Musica para dormir rápido,clickrow,trackdone,False,False,5,4,1
2022-12-20 07:58:59+00:00,3871,Chuva Suave para Dormir ,appload,endplay,False,True,6,1,2
2022-12-23 17:01:58+00:00,948674,"Activa tu Cerebro con Ondas GAMMA Binaurales para estudiar, concentrarte y mejorar tu memoria 3 HorasASMR",playbtn,endplay,True,True,44,8,2
2022-12-27 10:28:02+00:00,2243082,Power Focus - 14Hz Beta Waves that Improve Concentration and Focus,clickrow,unexpected-exit-while-paused,False,False,45,4,5
2022-12-27 13:05:14+00:00,3607,Power Focus - 14Hz Beta Waves that Improve Concentration and Focus,appload,endplay,False,True,45,1,2
2023-01-01 23:15:46+00:00,3607356,Sueño Profundo y Reparación Con Antiestrés,clickrow,logout,False,False,43,4,7
2023-01-02 06:50:28+00:00,7791,Sueño Profundo y Reparación Con Antiestrés,appload,endplay,False,True,43,1,2
2023-01-04 23:33:58+00:00,3765115,Sueño Profundo y Reparación Con Antiestrés,clickrow,logout,False,False,43,4,7
2023-01-05 06:07:26+00:00,3602730,Sueño Profundo y Reparación Con Antiestrés,appload,logout,False,False,43,1,7
2023-01-11 17:01:14+00:00,4196000,Study Music Intensify your learning Relax studying,clickrow,unexpected-exit-while-paused,False,False,46,4,5
2023-01-11 17:45:58+00:00,942242,Study Music Intensify your learning Relax studying,appload,endplay,False,True,46,1,2
2023-01-11 18:09:14+00:00,793983,Power Focus - 14Hz Beta Waves that Improve Concentration and Focus,clickrow,logout,False,False,45,4,7
2023-01-11 23:29:59+00:00,2474573,Musica para dormir rápido,clickrow,trackdone,False,False,5,4,1
2023-01-11 23:40:00+00:00,556,Chuva Suave para Dormir ,trackdone,logout,False,False,6,2,7
2023-01-12 23:15:28+00:00,1660005,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,endplay,False,True,21,4,2
2023-01-14 19:25:30+00:00,3618298,"Activa tu Cerebro con Ondas GAMMA Binaurales para estudiar, concentrarte y mejorar tu memoria 3 HorasASMR",playbtn,endplay,False,True,44,8,2
2023-01-17 00:00:28+00:00,2474573,Musica para dormir rápido,clickrow,trackdone,False,False,5,4,1
2023-01-17 00:10:31+00:00,21,Chuva Suave para Dormir ,trackdone,logout,False,False,6,2,7
